Group,CABIN-W19,CABIN-W39,CABIN-W298,CABIN-W299,CABIN-W418,CABIN-W419,CABIN-W450,CABIN-W478,CABIN-W478-2,CABIN-W605,CABIN-W638,CABIN-W638-2,CABIN-W670,CABIN-W679,CABIN-W680,CABIN-W681,CABIN-W694,CABIN-W695,CABIN-W696,CABIN-W710,CABIN-W711,CABIN-W712,CABIN-W725,CABIN-W727,CABIN-W742,CABIN-W743,CABIN-W757,CABIN-W758,Mean,Min,Max,Total,Sites Present,% Sites Present,,
Culicidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,,
Chaoboridae,0,0,97,1,0,0,5,1,0,1,0,3,0,2,0,0,0,2,0,3,7,0,190,9,219,0,0,2,19.36,0,219,542,14,50.00,,
Simuliidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,,
Other Diptera,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,22,0,0,3,0,0,0,0,0,0,0,0,2,1.14,0,22,32,6,21.43,,
Other:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,12.57,0,352,352,1,3.57,,
Damaged Organisms,14,4,36,19,9,0,30,0,0,13,5,1,16,0,3,37,6,25,6,5,40,3,3,4,5,2,7,1,10.50,0,40,294,,,,
Primary Organisms,520,312,305,943,66,302,317,231,197,600,364,300,540,52,404,715,302,312,305,299,286,224,314,306,302,307,313,369,350.25,52,943,9807,<300,7,,
Secondary Organisms,492,1062,1249,473,126,1138,449,5928,5302,180,87,198,119,2496,2406,750,153,1051,148,544,733,2491,265,350,415,356,201,252,1050.50,87,5928,29414,,,,
Total Organisms,1012,1374,1554,1416,192,1440,766,6159,5499,780,451,498,659,2548,2810,1465,455,1363,453,843,1019,2715,579,656,717,663,514,621,1400.75,192,6159,39221,,,,
Marchant Cells Counted,5,34,15,5,100,22,12,100,100,5,5,7,5,2,4,5,39,21,17,34,100,4,6,8,27,21,7,7,25.61,2,100,717,,,,
Unique/Mature Search,7,6,19,12,VNA,11,8,VNA,VNA,13,9,22,5,1,5,12,0,0,6,12,VNA,8,4,8,5,14,8,8,8.46,0,22,203,,,,
Groups,18,18,17,19,12,20,21,18,13,22,17,20,18,12,13,17,17,17,19,18,12,10,14,19,12,16,19,20,16.71,10,22,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced ID total,,2603,,,,
Other =,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
