Year,Site Name,Coarse Group,Marchant Cell Number,Sample Count
2007,W358,Ceratopogonidae,Cell 87,2
2007,W358,Coleoptera (larvae),Cell 87,1
2007,W358,Trichoptera,Cell 87,1
2007,W358,Hydrachnidia,Cell 87,1
2007,W358,Amphipoda,Cell 87,1
2007,W359,Bivalvia,Cell 89,1
2007,W359,Trichoptera,Cell 89,6
2007,W359,Anisoptera,Cell 89,9
2007,W359,Ephemeroptera,Cell 89,1
2007,W360,Other:,Cell 51,1
2007,W360,Trichoptera,Cell 51,3
2007,W360,Ephemeroptera,Cell 51,7
2007,W388,Hydrachnidia,Cell 100,1
2007,W388,Coleoptera (larvae),Cell 100,1
2007,W389,Hirudinea,Cell 50,1
2007,W389,Ephemeroptera,Cell 50,11
2007,W484,Hydrachnidia,Cell 41,16
2007,W484,Anisoptera,Cell 41,1
2007,W484,Trichoptera,Cell 41,2
2007,W484,Hemiptera,Cell 41,1
2007,W484,Zygoptera,Cell 41,2
2007,W512,Trichoptera,Cell 72,1
2007,W513,Anisoptera,Cell 65,6
2007,W513,Trichoptera,Cell 65,1
2007,W513,Coleoptera (larvae),Cell 65,3
2007,W513,Ceratopogonidae,Cell 65,1
2007,W513,Chaoboridae,Cell 65,2
2007,W544,Bivalvia,Cell 65,4
2007,W544,Hirudinea,Cell 65,3
2007,W544,Hydrachnidia,Cell 65,13
2007,W544,Ephemeroptera,Cell 65,1
2007,W544,Zygoptera,Cell 65,1
2007,W544,Hemiptera,Cell 65,4
2007,W544,Trichoptera,Cell 65,1
2007,W544,Coleoptera (larvae),Cell 65,2
2007,W544,Ceratopogonidae,Cell 65,3
2007,W544,Chaoboridae,Cell 65,1
2007,W586,Other Diptera,Cell 32,2
2007,W600,Other Diptera,Cell 34,1
2007,W601,Gastropoda,Cell 29,1
2007,W601,Hydrachnidia,Cell 29,1
2007,W601,Ephemeroptera,Cell 29,1
2007,W601,Other Diptera,Cell 29,1
2007,W616,Ephemeroptera,Cell 59,1
2007,W616,Hydrachnidia,Cell 59,6
2007,W616,Zygoptera,Cell 59,4
2007,W616,Coleoptera (adults),Cell 59,1
2007,W616,Trichoptera,Cell 59,1
2007,W618,Bivalvia,Cell 62,1
2007,W618,Hydrachnidia,Cell 62,3
2007,W618,Ephemeroptera,Cell 62,1
2007,W618,Ceratopogonidae,Cell 62,3
2007,W618,Anisoptera,Cell 62,1
2007,W618,Chaoboridae,Cell 62,35
2007,W631,Hirudinea,Cell 60,1
2007,W631,Trichoptera,Cell 60,2
2007,W631,Other Diptera,Cell 60,1
2007,W648,Gastropoda,Cell 81,3
2007,W648,Hydrachnidia,Cell 81,2
2007,W648,Bivalvia,Cell 81,2
2007,W648,Coleoptera (larvae),Cell 81,2
2007,W648,Ceratopogonidae,Cell 81,5
2007,W650,Coleoptera (larvae),Cell 44,1
2007,W650,Ephemeroptera,Cell 44,45
2007,W650,Anisoptera,Cell 44,6
2007,W650,Lepidoptera,Cell 44,2
2007,W650,Other Diptera,Cell 44,2
2007,W663,Hirudinea,Cell 43,1
2007,W663,Gastropoda,Cell 43,1
2007,W663,Ephemeroptera,Cell 43,1
2007,W665,Coleoptera (adults),Cell 20,1
2007,W665,Ceratopogonidae,Cell 20,1
2007,W665,Coleoptera (larvae),Cell 20,3
2007,W665,Bivalvia,Cell 20,2
2007,W665,Trichoptera,Cell 20,15
2007,W792,Coleoptera (larvae),Cell 47,2
2007,W792,Gastropoda,Cell 47,2
2007,W792,Hirudinea,Cell 47,3
2007,W793,Hemiptera,Cell 77,5
2007,W793,Ceratopogonidae,Cell 77,1
2007,W793,Chaoboridae,Cell 77,126
2007,W823,Chaoboridae,Cell 40,2
2007,W824,Chaoboridae,Cell 83,2
2007,W824,Hirudinea,Cell 83,7
2007,W824,Gastropoda,Cell 83,14
2007,W824,Bivalvia,Cell 83,4
2007,W824,Ephemeroptera,Cell 83,4
2007,W824,Anisoptera,Cell 83,1
2007,W824,Ceratopogonidae,Cell 83,11
2007,W825,Coleoptera (larvae),Cell 45,2
2007,W855,Ceratopogonidae,Cell 6,1
2007,W856,Bivalvia,Cell 69,2
2007,W857,Coleoptera (adults),Cell 85,2
2007,W857,Hemiptera,Cell 85,4
2007,W857,Trichoptera,Cell 85,5
2007,W857,Hirudinea,Cell 85,6
2007,W857,Hydrachnidia,Cell 85,4
2007,W857,Coleoptera (larvae),Cell 85,1
2007,W857,Lepidoptera,Cell 85,5
2007,W857,Chaoboridae,Cell 85,4
2008,W1007,Coleoptera (larvae),Cell 78,1
2008,W1007,Hirudinea,Cell 78,1
2008,W1007,Hemiptera,Cell 78,1
2008,W1008,Hemiptera,Cell 77,5
2008,W1008,Coleoptera (larvae),Cell 77,1
2008,W1041,Gastropoda,Cell 4,2
2008,W1041,Coleoptera (larvae),Cell 4,5
2008,W1041,Chironomidae,Cell 4,1
2008,W1041,Ephemeroptera,Cell 4,1
2008,W1042,Amphipoda,Cell 43,3
2008,W1043,Coleoptera (larvae),Cell 5,2
2008,W1043,Hemiptera,Cell 5,3
2008,W1068,Trichoptera,Cell 35,1
2008,W1069,Trichoptera,Cell 99,1
2008,W1069,Anisoptera,Cell 99,3
2008,W1069,Hirudinea,Cell 99,1
2008,W1070,Trichoptera,Cell 51,2
2008,W1083,Hydrachnidia,Cell 21,4
2008,W1083,Hirudinea,Cell 21,1
2008,W1083,Coleoptera (adults),Cell 21,1
2008,W1101,Trichoptera,Cell 66,5
2008,W1101,Coleoptera (larvae),Cell 66,1
2008,W1101,Hemiptera,Cell 66,1
2008,W1101,Ephemeroptera,Cell 66,2
2008,W1102,Hirudinea,Cell 53,2
2008,W1102,Trichoptera,Cell 53,1
2008,W1103,Hemiptera,Cell 82,2
2008,W1103,Zygoptera,Cell 82,2
2008,W1103,Amphipoda,Cell 82,2
2008,W1116,Bivalvia,Cell 11,1
2008,W1116,Other Diptera,Cell 11,1
2008,W1117,Coleoptera (larvae),Cell 16,1
2008,W1117,Amphipoda,Cell 16,1
2008,W1117,Chaoboridae,Cell 16,2
2008,W1133,Coleoptera (larvae),Cell 75,3
2008,W1133,Coleoptera (adults),Cell 75,1
2008,W1133,Hydrachnidia,Cell 75,2
2008,W1133,Ephemeroptera,Cell 75,2
2008,W1134,Gastropoda,Cell 89,12
2008,W1134,Bivalvia,Cell 89,1
2008,W1134,Hydrachnidia,Cell 89,2
2008,W1134,Trichoptera,Cell 89,1
2008,W1134,Ceratopogonidae,Cell 89,2
2008,W1135,Hemiptera,Cell 77,2
2008,W1135,Ceratopogonidae,Cell 77,1
2008,W1135,Other Diptera,Cell 77,1
2008,W1191,Chaoboridae,Cell 13,1
2008,W1223,Hydrachnidia,Cell 97,2
2008,W1223,Amphipoda,Cell 97,2
2008,W1223,Zygoptera,Cell 97,2
2008,W1223,Coleoptera (larvae),Cell 97,2
2008,W1223,Chaoboridae,Cell 97,5
2008,W1224,Gastropoda,Cell 11,3
2008,W1224,Hemiptera,Cell 11,8
2008,W1224,Ceratopogonidae,Cell 11,1
2008,W1224,Chaoboridae,Cell 11,5
2008,W1353,Hirudinea,Cell 19,1
2008,W1354,Anisoptera,Cell 49,1
2008,W1354,Ceratopogonidae,Cell 49,1
2008,W1354,Hydrachnidia,Cell 49,3
2008,W1354,Chaoboridae,Cell 49,4
2008,W1378,Hirudinea,Cell 49,1
2008,W1378,Zygoptera,Cell 49,3
2008,W1378,Coleoptera (adults),Cell 49,2
2008,W1380,Tabanidae,Cell 42,1
2008,W1402,Oligochaeta,Cell 27,1
2008,W1403,Hirudinea,Cell 16,1
2008,W1435,Oligochaeta,Cell 52,5
2008,W1435,Hirudinea,Cell 52,2
2008,W1435,Gastropoda,Cell 52,15
2008,W1435,Amphipoda,Cell 52,2
2008,W1435,Ephemeroptera,Cell 52,24
2008,W1435,Coleoptera (adults),Cell 52,1
2008,W1436,Gastropoda,Cell 2,2
2008,W1436,Hydrachnidia,Cell 2,3
2008,W1436,Coleoptera (larvae),Cell 2,11
2008,W1436,Coleoptera (adults),Cell 2,3
2008,W1436,Ephemeroptera,Cell 2,3
2008,W1457,Gastropoda,Cell 2,70
2008,W1457,Coleoptera (larvae),Cell 2,11
2008,W1457,Chaoboridae,Cell 2,3
2008,W1477,Coleoptera (larvae),Cell 98,2
2008,W1477,Trichoptera,Cell 98,3
2008,W1477,Chaoboridae,Cell 98,1
2008,W1557,Oligochaeta,Cell 61,3
2008,W1557,Hirudinea,Cell 61,1
2008,W1557,Ceratopogonidae,Cell 61,3
2008,W1557,Coleoptera (larvae),Cell 61,13
2008,W1557,Coleoptera (adults),Cell 61,30
2008,W1557,Zygoptera,Cell 61,3
2008,W1557,Ephemeroptera,Cell 61,9
2008,W1557,Amphipoda,Cell 61,48
2008,W1557,Hydrachnidia,Cell 61,7
2008,W1558,Coleoptera (adults),Cell 22,1
2008,W1558,Hemiptera,Cell 22,4
2008,W1558,Anisoptera,Cell 22,1
2008,W1558,Ephemeroptera,Cell 22,2
2008,W1558,Hydrachnidia,Cell 22,8
2008,W1558,Coleoptera (larvae),Cell 22,3
2008,W1558,Chaoboridae,Cell 22,24
2008,W1619,Ceratopogonidae,Cell 95,7
2008,W1619,Ephemeroptera,Cell 95,2
2008,W1619,Coleoptera (larvae),Cell 95,2
2008,W343,Hydrachnidia,Cell 51,1
2008,W344,Amphipoda,Cell 9,2
2008,W344,Coleoptera (adults),Cell 9,1
2008,W345,Hydrachnidia,Cell 46,1
2008,W373,Ephemeroptera,Cell 2,2
2008,W373,Gastropoda,Cell 2,2
2008,W373,Bivalvia,Cell 2,4
2008,W374,Oligochaeta,Cell 10,2
2008,W374,Hirudinea,Cell 10,1
2008,W374,Bivalvia,Cell 10,5
2008,W374,Ephemeroptera,Cell 10,1
2008,W374,Trichoptera,Cell 10,2
2008,W375,Coleoptera (larvae),Cell 61,2
2008,W414,Coleoptera (larvae),Cell 68,1
2008,W414,Gastropoda,Cell 68,1
2008,W414,Ceratopogonidae,Cell 68,1
2008,W442,Gastropoda,Cell 73,1
2008,W442,Hydrachnidia,Cell 73,1
2008,W472,Coleoptera (larvae),Cell 11,1
2008,W472,Ceratopogonidae,Cell 11,6
2008,W473,Coleoptera (larvae),Cell 64,2
2008,W688,Trichoptera,Cell 50,1
2008,W688,Hirudinea,Cell 50,1
2008,W688,Ceratopogonidae,Cell 50,1
2008,W690,Chironomidae,Cell 41,1
2008,W690,Hydrachnidia,Cell 41,1
2008,W690,Oligochaeta,Cell 41,1
2008,W750,Chironomidae,Cell 1,2
2008,W751,Chironomidae,Cell 40,1
2008,W867,Hirudinea,Cell 85,1
2008,W867,Ephemeroptera,Cell 85,1
2008,W867,Hemiptera,Cell 85,3
2008,W867,Ceratopogonidae,Cell 85,1
2008,W868,Coleoptera (larvae),Cell 47,1
2008,W868,Trichoptera,Cell 47,1
2008,W868,Gastropoda,Cell 47,6
2008,W934,Hemiptera,Cell 92,2
2008,W934,Zygoptera,Cell 92,1
2008,W934,Ephemeroptera,Cell 92,1
2008,W934,Chironomidae,Cell 92,21
2008,W975,Ephemeroptera,Cell 46,5
2008,W975,Hirudinea,Cell 46,1
2008,W975,Ceratopogonidae,Cell 46,4
2014,OGW-ABMI-387-11,Gastropoda,Cell 60,3
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 60,1
2014,OGW-ABMI-387-11,Chaoboridae,Cell 60,4
2014,OGW-ABMI-387-11,Chironomidae,Cell 60,5
2014,OGW-ABMI-387-11,Coleoptera (larvae),Cell 60,2
2014,OGW-ABMI-387-11,Coleoptera (adults),Cell 60,1
2014,OGW-ABMI-387-11,Hemiptera,Cell 60,2
2014,OGW-ABMI-387-11,Amphipoda,Cell 60,11
2014,OGW-ABMI-387-11,Hydrachnidia,Cell 60,1
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 5,1
2014,OGW-ABMI-387-11,Chaoboridae,Cell 5,5
2014,OGW-ABMI-387-11,Chironomidae,Cell 5,5
2014,OGW-ABMI-387-11,Hemiptera,Cell 5,3
2014,OGW-ABMI-387-11,Other Diptera,Cell 5,2
2014,OGW-ABMI-387-11,Amphipoda,Cell 5,6
2014,OGW-ABMI-387-11,Hydrachnidia,Cell 5,1
2014,OGW-ABMI-387-11,Gastropoda,Cell 5,6
2014,OGW-ABMI-387-11,Zygoptera,Cell 5,4
2014,OGW-ABMI-387-11,Gastropoda,Cell 34,5
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 34,2
2014,OGW-ABMI-387-11,Hydrachnidia,Cell 34,1
2014,OGW-ABMI-387-11,Chaoboridae,Cell 34,8
2014,OGW-ABMI-387-11,Chironomidae,Cell 34,6
2014,OGW-ABMI-387-11,Coleoptera (larvae),Cell 34,1
2014,OGW-ABMI-387-11,Hemiptera,Cell 34,1
2014,OGW-ABMI-387-11,Zygoptera,Cell 34,2
2014,OGW-ABMI-387-11,Amphipoda,Cell 34,5
2014,OGW-ABMI-387-11,Chironomidae,Cell 8,3
2014,OGW-ABMI-387-11,Amphipoda,Cell 8,1
2014,OGW-ABMI-387-11,Hydrachnidia,Cell 8,1
2014,OGW-ABMI-387-11,Gastropoda,Cell 8,5
2014,OGW-ABMI-387-11,Other Diptera,Cell 8,1
2014,OGW-ABMI-387-11,Anisoptera,Cell 26,1
2014,OGW-ABMI-387-11,Amphipoda,Cell 26,6
2014,OGW-ABMI-387-11,Hydrachnidia,Cell 26,3
2014,OGW-ABMI-387-11,Gastropoda,Cell 26,9
2014,OGW-ABMI-387-11,Zygoptera,Cell 26,2
2014,OGW-ABMI-387-11,Chironomidae,Cell 26,8
2014,OGW-ABMI-387-11,Chaoboridae,Cell 26,4
2014,OGW-ABMI-387-11,Oligochaeta,Cell 26,1
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 26,3
2014,OGW-ABMI-387-11,Hirudinea,Cell 26,1
2014,OGW-ABMI-387-11,Gastropoda,Cell 95,7
2014,OGW-ABMI-387-11,Hydrachnidia,Cell 95,1
2014,OGW-ABMI-387-11,Amphipoda,Cell 95,9
2014,OGW-ABMI-387-11,Coleoptera (larvae),Cell 95,1
2014,OGW-ABMI-387-11,Chironomidae,Cell 95,3
2014,OGW-ABMI-387-11,Other Diptera,Cell 95,1
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 95,1
2014,OGW-ABMI-387-11,Oligochaeta,Cell 95,2
2014,OGW-ABMI-387-11,Chaoboridae,Cell 7,2
2014,OGW-ABMI-387-11,Gastropoda,Cell 7,7
2014,OGW-ABMI-387-11,Amphipoda,Cell 7,6
2014,OGW-ABMI-387-11,Chironomidae,Cell 7,3
2014,OGW-ABMI-387-11,Hydrachnidia,Cell 7,1
2014,OGW-ABMI-387-11,Chaoboridae,Cell 31,5
2014,OGW-ABMI-387-11,Chironomidae,Cell 31,4
2014,OGW-ABMI-387-11,Hemiptera,Cell 31,1
2014,OGW-ABMI-387-11,Coleoptera (larvae),Cell 31,1
2014,OGW-ABMI-387-11,Gastropoda,Cell 31,5
2014,OGW-ABMI-387-11,Amphipoda,Cell 31,4
2014,OGW-ABMI-387-11,Oligochaeta,Cell 31,1
2014,OGW-ABMI-387-11,Amphipoda,Cell 40,2
2014,OGW-ABMI-387-11,Oligochaeta,Cell 40,1
2014,OGW-ABMI-387-11,Chironomidae,Cell 40,2
2014,OGW-ABMI-387-11,Chaoboridae,Cell 40,1
2014,OGW-ABMI-387-11,Other Diptera,Cell 40,1
2014,OGW-ABMI-387-11,Zygoptera,Cell 40,1
2014,OGW-ABMI-387-11,Hirudinea,Cell 40,1
2014,OGW-ABMI-387-11,Gastropoda,Cell 40,4
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 40,1
2014,OGW-ABMI-387-11,Hemiptera,Cell 49,1
2014,OGW-ABMI-387-11,Coleoptera (adults),Cell 49,1
2014,OGW-ABMI-387-11,Chironomidae,Cell 49,1
2014,OGW-ABMI-387-11,Chaoboridae,Cell 49,4
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 49,2
2014,OGW-ABMI-387-11,Amphipoda,Cell 49,9
2014,OGW-ABMI-387-11,Hydrachnidia,Cell 49,2
2014,OGW-ABMI-387-11,Gastropoda,Cell 49,6
2014,OGW-ABMI-387-11,Other Diptera,Cell 49,2
2014,OGW-ABMI-387-11,Chaoboridae,Cell 62,2
2014,OGW-ABMI-387-11,Chironomidae,Cell 62,6
2014,OGW-ABMI-387-11,Zygoptera,Cell 62,1
2014,OGW-ABMI-387-11,Amphipoda,Cell 62,13
2014,OGW-ABMI-387-11,Gastropoda,Cell 62,2
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 62,2
2014,OGW-ABMI-387-11,Hemiptera,Cell 62,1
2014,OGW-ABMI-387-11,Other Diptera,Cell 97,1
2014,OGW-ABMI-387-11,Zygoptera,Cell 97,1
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 97,1
2014,OGW-ABMI-387-11,Gastropoda,Cell 97,8
2014,OGW-ABMI-387-11,Amphipoda,Cell 97,9
2014,OGW-ABMI-387-11,Chironomidae,Cell 97,2
2014,OGW-ABMI-387-11,Chaoboridae,Cell 97,1
2014,OGW-ABMI-387-11,Chironomidae,Cell 75,4
2014,OGW-ABMI-387-11,Chaoboridae,Cell 75,3
2014,OGW-ABMI-387-11,Coleoptera (larvae),Cell 75,1
2014,OGW-ABMI-387-11,Other Diptera,Cell 75,1
2014,OGW-ABMI-387-11,Gastropoda,Cell 75,14
2014,OGW-ABMI-387-11,Amphipoda,Cell 75,5
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 75,2
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 66,7
2014,OGW-ABMI-387-11,Chaoboridae,Cell 66,4
2014,OGW-ABMI-387-11,Chironomidae,Cell 66,2
2014,OGW-ABMI-387-11,Amphipoda,Cell 66,6
2014,OGW-ABMI-387-11,Hydrachnidia,Cell 66,2
2014,OGW-ABMI-387-11,Gastropoda,Cell 66,7
2014,OGW-ABMI-387-11,Chaoboridae,Cell 15,2
2014,OGW-ABMI-387-11,Chironomidae,Cell 15,3
2014,OGW-ABMI-387-11,Coleoptera (larvae),Cell 15,1
2014,OGW-ABMI-387-11,Amphipoda,Cell 15,2
2014,OGW-ABMI-387-11,Damaged Organisms,Cell 15,7
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 51,3
2014,OGW-ABMI-449-11,Amphipoda,Cell 51,3
2014,OGW-ABMI-449-11,Zygoptera,Cell 51,1
2014,OGW-ABMI-449-11,Hemiptera,Cell 51,1
2014,OGW-ABMI-449-11,Hirudinea,Cell 46,1
2014,OGW-ABMI-449-11,Bivalvia,Cell 46,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 46,3
2014,OGW-ABMI-449-11,Amphipoda,Cell 46,2
2014,OGW-ABMI-449-11,Ephemeroptera,Cell 46,1
2014,OGW-ABMI-449-11,Zygoptera,Cell 46,3
2014,OGW-ABMI-449-11,Chironomidae,Cell 46,2
2014,OGW-ABMI-449-11,Oligochaeta,Cell 52,1
2014,OGW-ABMI-449-11,Gastropoda,Cell 52,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 52,2
2014,OGW-ABMI-449-11,Amphipoda,Cell 52,4
2014,OGW-ABMI-449-11,Zygoptera,Cell 52,5
2014,OGW-ABMI-449-11,Chironomidae,Cell 52,1
2014,OGW-ABMI-449-11,Gastropoda,Cell 26,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 26,1
2014,OGW-ABMI-449-11,Amphipoda,Cell 26,2
2014,OGW-ABMI-449-11,Zygoptera,Cell 26,3
2014,OGW-ABMI-449-11,Coleoptera (larvae),Cell 26,1
2014,OGW-ABMI-449-11,Damaged Organisms,Cell 94,2
2014,OGW-ABMI-449-11,Oligochaeta,Cell 94,2
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 94,3
2014,OGW-ABMI-449-11,Amphipoda,Cell 94,2
2014,OGW-ABMI-449-11,Zygoptera,Cell 94,3
2014,OGW-ABMI-449-11,Chironomidae,Cell 94,2
2014,OGW-ABMI-449-11,Damaged Organisms,Cell 45,1
2014,OGW-ABMI-449-11,Oligochaeta,Cell 45,1
2014,OGW-ABMI-449-11,Gastropoda,Cell 45,2
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 45,5
2014,OGW-ABMI-449-11,Amphipoda,Cell 45,2
2014,OGW-ABMI-449-11,Zygoptera,Cell 45,1
2014,OGW-ABMI-449-11,Hemiptera,Cell 45,1
2014,OGW-ABMI-449-11,Damaged Organisms,Cell 59,1
2014,OGW-ABMI-449-11,Oligochaeta,Cell 59,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 59,4
2014,OGW-ABMI-449-11,Zygoptera,Cell 59,1
2014,OGW-ABMI-449-11,Damaged Organisms,Cell 68,1
2014,OGW-ABMI-449-11,Oligochaeta,Cell 68,1
2014,OGW-ABMI-449-11,Gastropoda,Cell 68,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 68,3
2014,OGW-ABMI-449-11,Amphipoda,Cell 68,3
2014,OGW-ABMI-449-11,Ephemeroptera,Cell 68,1
2014,OGW-ABMI-449-11,Zygoptera,Cell 68,5
2014,OGW-ABMI-449-11,Hemiptera,Cell 68,1
2014,OGW-ABMI-449-11,Gastropoda,Cell 43,2
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 43,3
2014,OGW-ABMI-449-11,Amphipoda,Cell 43,4
2014,OGW-ABMI-449-11,Hemiptera,Cell 43,1
2014,OGW-ABMI-449-11,Gastropoda,Cell 31,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 31,5
2014,OGW-ABMI-449-11,Amphipoda,Cell 31,1
2014,OGW-ABMI-449-11,Amphipoda,Cell 14,2
2014,OGW-ABMI-449-11,Zygoptera,Cell 14,1
2014,OGW-ABMI-449-11,Gastropoda,Cell 18,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 18,2
2014,OGW-ABMI-449-11,Amphipoda,Cell 18,1
2014,OGW-ABMI-449-11,Zygoptera,Cell 18,2
2014,OGW-ABMI-449-11,Chironomidae,Cell 18,1
2014,OGW-ABMI-449-11,Chaoboridae,Cell 18,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 42,1
2014,OGW-ABMI-449-11,Amphipoda,Cell 42,4
2014,OGW-ABMI-449-11,Chironomidae,Cell 42,1
2014,OGW-ABMI-449-11,Oligochaeta,Cell 16,3
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 16,3
2014,OGW-ABMI-449-11,Amphipoda,Cell 16,1
2014,OGW-ABMI-449-11,Zygoptera,Cell 16,2
2014,OGW-ABMI-449-11,Chironomidae,Cell 16,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 15,2
2014,OGW-ABMI-449-11,Zygoptera,Cell 15,2
2014,OGW-ABMI-449-11,Damaged Organisms,Cell 89,1
2014,OGW-ABMI-449-11,Bivalvia,Cell 89,3
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 89,7
2014,OGW-ABMI-449-11,Amphipoda,Cell 89,5
2014,OGW-ABMI-449-11,Zygoptera,Cell 89,3
2014,OGW-ABMI-449-11,Ceratopogonidae,Cell 89,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 34,1
2014,OGW-ABMI-449-11,Amphipoda,Cell 34,3
2014,OGW-ABMI-449-11,Zygoptera,Cell 34,3
2014,OGW-ABMI-449-11,Chironomidae,Cell 34,1
2014,OGW-ABMI-449-11,Oligochaeta,Cell 49,1
2014,OGW-ABMI-449-11,Gastropoda,Cell 49,3
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 49,6
2014,OGW-ABMI-449-11,Amphipoda,Cell 49,2
2014,OGW-ABMI-449-11,Zygoptera,Cell 49,4
2014,OGW-ABMI-449-11,Hemiptera,Cell 49,1
2014,OGW-ABMI-449-11,Damaged Organisms,Cell 44,1
2014,OGW-ABMI-449-11,Hirudinea,Cell 44,2
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 44,2
2014,OGW-ABMI-449-11,Zygoptera,Cell 44,2
2014,OGW-ABMI-449-11,Hemiptera,Cell 44,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 63,1
2014,OGW-ABMI-449-11,Amphipoda,Cell 63,3
2014,OGW-ABMI-449-11,Zygoptera,Cell 63,2
2014,OGW-ABMI-449-11,Chironomidae,Cell 63,1
2014,OGW-ABMI-449-11,Oligochaeta,Cell 8,2
2014,OGW-ABMI-449-11,Amphipoda,Cell 8,5
2014,OGW-ABMI-449-11,Zygoptera,Cell 8,3
2014,OGW-ABMI-449-11,Chironomidae,Cell 8,1
2014,OGW-ABMI-449-11,Gastropoda,Cell 99,3
2014,OGW-ABMI-449-11,Bivalvia,Cell 99,1
2014,OGW-ABMI-449-11,Hydrachnidia,Cell 99,5
2014,OGW-ABMI-449-11,Amphipoda,Cell 99,1
2014,OGW-ABMI-449-11,Zygoptera,Cell 99,3
