Rotation,ABMI Site,Year,Field Date,Field Crew Member(s),Identification Date,Identification Analyst,Coarse Group,Coarse Group Count,Proportion of Marchant Box Cells Counted
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Isopoda,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Lepidoptera,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Megaloptera,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Misc. Diptera,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Nematoda,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Oligochaeta,9,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Ostracoda,94,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Pelecypoda,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Platyhelminthes,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Plecoptera,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Porifera,1,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Simulidae,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Tabanidae,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Tipulidae,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Trichoptera,0,33
Rotation 1,217,2007,21-Jul-07,TNA,15-Aug-07,AST,Zygoptera,3,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Amphipoda,27,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Anisoptera,1,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Ceratopogonidae,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Chaoboridae,19,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Chironomidae,23,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Cladocera,760,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Coleoptera (adults),0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Coleoptera (larvae),0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Copeopoda,103,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Culicidae,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Decapoda,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Ephemeroptera,1,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Gastropoda,5,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Hemiptera,13,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Hirudinea,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Hydrachnida,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Hydrozoa,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Isopoda,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Lepidoptera,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Megaloptera,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Misc. Diptera,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Nematoda,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Oligochaeta,4,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Ostracoda,14,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Pelecypoda,4,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Platyhelminthes,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Plecoptera,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Porifera,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Simulidae,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Tabanidae,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Tipulidae,0,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Trichoptera,1,33
Rotation 1,218,2007,19-Jul-07,TNA,16-Aug-07,AST,Zygoptera,8,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Amphipoda,5,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Anisoptera,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Ceratopogonidae,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Chaoboridae,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Chironomidae,10,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Cladocera,58,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Coleoptera (adults),0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Coleoptera (larvae),0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Copeopoda,143,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Culicidae,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Decapoda,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Ephemeroptera,3,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Gastropoda,4,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Hemiptera,1,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Hirudinea,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Hydrachnida,1,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Hydrozoa,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Isopoda,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Lepidoptera,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Megaloptera,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Misc. Diptera,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Nematoda,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Oligochaeta,2,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Ostracoda,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Pelecypoda,1,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Platyhelminthes,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Plecoptera,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Porifera,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Simulidae,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Tabanidae,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Tipulidae,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Trichoptera,0,33
Rotation 1,246,2007,20-Jul-07,TNA,9-Aug-07,AST,Zygoptera,10,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Amphipoda,1,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Anisoptera,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Ceratopogonidae,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Chaoboridae,19,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Chironomidae,3,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Cladocera,344,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Coleoptera (adults),0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Coleoptera (larvae),0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Copeopoda,260,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Culicidae,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Decapoda,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Ephemeroptera,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Gastropoda,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Hemiptera,2,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Hirudinea,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Hydrachnida,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Hydrozoa,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Isopoda,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Lepidoptera,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Megaloptera,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Misc. Diptera,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Nematoda,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Oligochaeta,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Ostracoda,8,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Pelecypoda,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Platyhelminthes,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Plecoptera,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Porifera,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Simulidae,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Tabanidae,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Tipulidae,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Trichoptera,0,33
Rotation 1,247,2007,22-Jul-07,TNA,16-Aug-07,AST,Zygoptera,3,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Amphipoda,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Anisoptera,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Ceratopogonidae,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Chaoboridae,27,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Chironomidae,3,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Cladocera,63,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Coleoptera (adults),0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Coleoptera (larvae),0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Copeopoda,583,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Culicidae,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Decapoda,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Ephemeroptera,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Gastropoda,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Hemiptera,3,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Hirudinea,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Hydrachnida,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Hydrozoa,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Isopoda,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Lepidoptera,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Megaloptera,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Misc. Diptera,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Nematoda,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Oligochaeta,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Ostracoda,1,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Pelecypoda,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Platyhelminthes,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Plecoptera,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Porifera,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Simulidae,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Tabanidae,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Tipulidae,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Trichoptera,0,33
Rotation 1,248,2007,20-Jul-07,TNA,20-Aug-07,AST,Zygoptera,2,33
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Amphipoda,2,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Anisoptera,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Ceratopogonidae,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Chaoboridae,10,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Chironomidae,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Cladocera,1147,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Coleoptera (adults),0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Coleoptera (larvae),0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Copeopoda,79,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Culicidae,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Decapoda,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Ephemeroptera,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Gastropoda,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Hemiptera,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Hirudinea,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Hydrachnida,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Hydrozoa,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Isopoda,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Lepidoptera,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Megaloptera,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Misc. Diptera,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Nematoda,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Oligochaeta,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Ostracoda,1,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Pelecypoda,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Platyhelminthes,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Plecoptera,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Porifera,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Simulidae,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Tabanidae,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Tipulidae,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Trichoptera,0,23
Rotation 1,276,2007,23-Jul-07,TNA,21-Aug-07,AST,Zygoptera,1,23
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Amphipoda,9,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Anisoptera,1,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Ceratopogonidae,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Chaoboridae,2,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Chironomidae,36,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Cladocera,64,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Coleoptera (adults),0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Coleoptera (larvae),1,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Copeopoda,11,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Culicidae,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Decapoda,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Ephemeroptera,1,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Gastropoda,6,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Hemiptera,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Hirudinea,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Hydrachnida,1,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Hydrozoa,2,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Isopoda,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Lepidoptera,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Megaloptera,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Misc. Diptera,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Nematoda,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Oligochaeta,25,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Ostracoda,9,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Pelecypoda,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Platyhelminthes,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Plecoptera,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Porifera,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Simulidae,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Tabanidae,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Tipulidae,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Trichoptera,0,33
Rotation 1,277,2007,22-Jul-07,TNA,21-Aug-07,AST,Zygoptera,2,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Amphipoda,54,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Anisoptera,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Ceratopogonidae,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Chaoboridae,13,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Chironomidae,44,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Cladocera,4,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Coleoptera (adults),0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Coleoptera (larvae),1,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Copeopoda,183,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Culicidae,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Decapoda,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Ephemeroptera,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Gastropoda,2,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Hemiptera,4,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Hirudinea,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Hydrachnida,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Hydrozoa,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Isopoda,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Lepidoptera,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Megaloptera,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Misc. Diptera,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Nematoda,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Oligochaeta,1,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Ostracoda,9,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Pelecypoda,4,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Platyhelminthes,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Plecoptera,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Porifera,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Simulidae,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Tabanidae,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Tipulidae,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Trichoptera,0,33
Rotation 1,278,2007,17-Jul-07,TNA,22-Aug-07,AST,Zygoptera,0,33
Rotation 1,329,2007,20-Jul-07,AST,13-Aug-07,AST,Amphipoda,1,26
