Site Number,Identification Date ,Coarse Sorting Group,Family          (Sub-family for Chironomidae),Genus & Species,Number of Specimens,Confirmed.Family,Confirmed.Genus & Species
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,Pseudochironomus sp. C RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,Tanytarsus sp. C RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,Tanytarsus sp.,,,
CABIN-W19,18-Mar-20,Chironomidae,Chironominae,UID,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Corynoneura sp. C RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Corynoneura sp. D RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Cricotopus sp. B RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Cricotopus sp. D RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Cricotopus sp.,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Nanocladius sp. A RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Psectrocladius sp. B RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Psectrocladius sp. D RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Psectrocladius sp. I RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Psectrocladius sp. M RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Psectrocladius sp.,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,UID,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Ablabesmyia sp. G RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Ablabesmyia sp. H RPH,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Ablabesmyia sp.,,,
CABIN-W19,18-Mar-20,Chironomidae,Orthocladiinae,Tanypodinae UID,,,
CABIN-W19,30-Oct-20,Ceratopogonidae,Ceratopogonidae,Bezzia/Probezzia/Palpomyia sp.,,,
CABIN-W19,,Tabanidae,,,,,
CABIN-W19,,Tipulidae,,,,,
CABIN-W19,,Culicidae,,,,,
CABIN-W19,,Chaoboridae,,,,,
CABIN-W19,,Simuliidae,,,,,
CABIN-W19,,Other Diptera,,,,,
CABIN-W19,,Other: ,,,,,
CABIN-W19,12-Jun-19,UMOS,Coenagrionidae,Enallagma sp.,,,
CABIN-W19,12-Jun-19,UMOS,Notonectidae,Notonecta sp.,,,
CABIN-W19,12-Jun-19,UMOS,Limnephilidae,UID,,,
CABIN-W39,,Porifera,,,,,
CABIN-W39,,Hydrozoa,,,,,
CABIN-W39,,Platyhelminthes,,,,,
CABIN-W39,,Nematoda,,,,,
CABIN-W39,15-Jun-20,Oligochaeta,Naididae,Chaetogaster,1,Naididae,Chaetogaster diaphanus
CABIN-W39,24-Jun-19,Hirudinea,Erpobdellidae,UID,,,
CABIN-W39,19-Jun-19,Gastropoda,Ancylidae,Ferrissia rivularis,,,
CABIN-W39,19-Jun-19,Gastropoda,Physidae,Physella gyrina,,,
CABIN-W39,19-Jun-19,Bivalvia,Sphaeriidae,UID,,,
CABIN-W39,21-Oct-20,Hydrachnidia,Arrenuridae,Arrenurus sp.,,,
CABIN-W39,21-Oct-20,Hydrachnidia,Hydrachnidae,Hydrachna sp.,,,
CABIN-W39,21-Oct-20,Hydrachnidia,Limnesiidae,Limnesia sp.,,,
CABIN-W39,21-Oct-20,Hydrachnidia,UID,UID,,,
CABIN-W39,,Cladocera,,,,,
CABIN-W39,,Ostracoda,,,,,
CABIN-W39,,Copepoda,,,,,
CABIN-W39,19-Jun-19,Amphipoda,Gammaridae,Gammarus sp.,,,
CABIN-W39,19-Jun-19,Amphipoda,Hyalellidae,Hyalella sp.,,,
CABIN-W39,,Isopoda,,,,,
CABIN-W39,,Decapoda,,,,,
CABIN-W39,19-Jun-19,Ephemeroptera,Leptophlebiidae,Paraleptophlebia sp.,,,
CABIN-W39,19-Jun-19,Ephemeroptera,UID,UID,,,
CABIN-W39,,Anisoptera,,,,,
CABIN-W39,19-Jun-19,Zygoptera,UID,UID,,,
CABIN-W39,,Plecoptera,,,,,
CABIN-W39,19-Jun-19,Hemiptera,Corixidae,Cymatia sp.,,,
CABIN-W39,19-Jun-19,Hemiptera,Corixinae,UID,,,
CABIN-W39,19-Jun-19,Hemiptera,Mesoveliidae,Mesovelia sp.,,,
CABIN-W39,19-Jun-19,Hemiptera,Notonectidae,Notonecta borealis,,,
CABIN-W39,19-Jun-19,Hemiptera,Notonectidae,Notonecta sp.,,,
CABIN-W39,,Megaloptera,,,,,
CABIN-W39,19-Jun-19,Lepidoptera,Crambidae,Elophila sp.,10,Crambidae,UID
CABIN-W39,19-Jun-19,Trichoptera,Leptoceridae,Mystacides interjectus,,,
CABIN-W39,19-Jun-19,Trichoptera,Leptoceridae,Oecetis sp.,,,
CABIN-W39,19-Jun-19,Trichoptera,Limnephilidae,Nemotaulius hostilis,,,
CABIN-W39,19-Jun-19,Trichoptera,Limnephilidae,UID,,,
CABIN-W39,19-Jun-19,Trichoptera,Phryganeidae,Agrypnia sp.,2,Phryganeidae,Agrypnia sp.
CABIN-W39,19-Jun-19,Trichoptera,Phryganeidae,UID,,,
CABIN-W39,19-Jun-19,Trichoptera,Polycentropodidae,Polycentropus sp.,,,
CABIN-W39,21-Jun-19,Coleoptera (adults),Dytiscidae,Neoporus undulatus,14,Dytiscidae,Neoporus undulatus
CABIN-W39,21-Jun-19,Coleoptera (adults),Haliplidae,Haliplus immaculicollis,,,
CABIN-W39,21-Jun-19,Coleoptera (larvae),Donaciinae,UID,,,
CABIN-W39,21-Jun-19,Coleoptera (larvae),Dytiscidae,Ilybius sp.,,,
CABIN-W39,18-Mar-20,Chironomidae,Chironominae,Endochironomus nigricans,,,
CABIN-W39,18-Mar-20,Chironomidae,Chironominae,Glyptotendipes sp. E RPH,,,
CABIN-W39,18-Mar-20,Chironomidae,Chironominae,Parachironomus sp. D RPH,,,
CABIN-W39,18-Mar-20,Chironomidae,Chironominae,Polypedilum sp. C RPH,,,
CABIN-W39,18-Mar-20,Chironomidae,Chironominae,Polypedilum sp.,,,
CABIN-W39,18-Mar-20,Chironomidae,Orthocladiinae,Acamptocladius sp.,,,
CABIN-W39,18-Mar-20,Chironomidae,Orthocladiinae,Corynoneura sp. C RPH,,,
CABIN-W39,18-Mar-20,Chironomidae,Orthocladiinae,Cricotopus sp.,,,
CABIN-W39,18-Mar-20,Chironomidae,Orthocladiinae,Limnophyes sp.,,,
CABIN-W39,18-Mar-20,Chironomidae,Orthocladiinae,Psectrocladius sp. I RPH,,,
CABIN-W39,18-Mar-20,Chironomidae,Tanypodinae,Thienemannimyia group,,,
CABIN-W39,,Ceratopogonidae,,,,,
CABIN-W39,,Tabanidae,,,,,
CABIN-W39,,Tipulidae,,,,,
CABIN-W39,,Culicidae,,,,,
CABIN-W39,,Chaoboridae,,,,,
CABIN-W39,,Simuliidae,,,,,
CABIN-W39,21-Jun-19,Other Diptera,Dixidae,Dixella sp.,,,
CABIN-W39,21-Jun-19,Other Diptera,Tabanidae,UID,1,Tabanidae,Chrysops sp.
CABIN-W39,,Other: ,,,,,
CABIN-W39,24-Jun-19,UMOS,Aeshnidae,Aeshna sp.,,,
CABIN-W39,24-Jun-19,UMOS,Corixidae,Cymatia sp.,,,
CABIN-W39,24-Jun-19,UMOS,Phryganeidae,Fabria inornata,,,
CABIN-W39,24-Jun-19,UMOS,Dytiscidae,Neoporus undulatus,2,Dytiscidae,Neoporus undulatus
CABIN-W298,,Porifera,,,,,
CABIN-W298,,Hydrozoa,,,,,
CABIN-W298,,Platyhelminthes,,,,,
CABIN-W298,,Nematoda,,,,,
CABIN-W298,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais communis
CABIN-W298,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais communis
CABIN-W298,22-Jul-19,Hirudinea,UID,UID,,,
CABIN-W298,17-Jun-19,Gastropoda,Planorbidae,Gyraulus deflectus,,,
CABIN-W298,17-Jun-19,Gastropoda,Planorbidae,UID,,,
CABIN-W298,2-Jul-19,Bivalvia,Sphaeriidae,UID,,,
CABIN-W298,21-Oct-20,Hydrachnidia,Limnesiidae,Limnesia sp.,,,
CABIN-W298,21-Oct-20,Hydrachnidia,Pionidae,Piona sp.,,,
CABIN-W298,21-Oct-20,Hydrachnidia,UID,UID,,,
CABIN-W298,21-Oct-20,Acari,Hydrozetidae,Hydrozetes sp.,,,
CABIN-W298,,Cladocera,,,,,
CABIN-W298,,Ostracoda,,,,,
CABIN-W298,,Copepoda,,,,,
CABIN-W298,17-Jun-19,Amphipoda,Hyalellidae,Hyalella sp.,,,
CABIN-W298,,Isopoda,,,,,
CABIN-W298,,Decapoda,,,,,
CABIN-W298,17-Jun-19,Ephemeroptera,Baetidae,Callibaetis sp.,,,
CABIN-W298,17-Jun-19,Ephemeroptera,Baetidae,UID,,,
CABIN-W298,,Anisoptera,,,,,
CABIN-W298,17-Jun-19,Zygoptera,Coenagrionidae,UID,,,
CABIN-W298,,Plecoptera,,,,,
CABIN-W298,17-Jun-19,Hemiptera,Notonectidae,Notonecta sp.,,,
CABIN-W298,17-Jun-19,Hemiptera,Corixidae,UID,,,
CABIN-W298,,Megaloptera,,,,,
CABIN-W298,,Lepidoptera,,,,,
CABIN-W298,19-Jun-19,Trichoptera,Limnephilidae,Nemotaulius hostilis,9,Limnephilidae,Nemotaulius hostilis
CABIN-W298,19-Jun-19,Trichoptera,Phryganeidae,Agrypnia sp.,5,Phryganeidae,Agrypnia sp.
CABIN-W298,19-Jun-19,Trichoptera,Limnephilidae,UID,,,
CABIN-W298,19-Jun-19,Trichoptera,Phryganeidae,UID,,,
CABIN-W298,19-Jun-19,Coleoptera (adults),Haliplidae,Haliplus immaculicollis ,1,Haliplidae,Haliplus immaculicollis
CABIN-W298,19-Jun-19,Coleoptera (adults),Dytiscidae,Neoporus undulatus,2,Dytiscidae,Neoporus undulatus
CABIN-W298,19-Jun-19,Coleoptera (adults),Chrysomelidae,Galerucella nymphaeae,1,Chrysomelidae,Galerucella nymphaeae
CABIN-W298,19-Jun-19,Coleoptera (larvae),Dytiscidae,Graphoderus perplexus,1,Dytiscidae,Graphoderus perplexus
CABIN-W298,19-Jun-19,Coleoptera (larvae),Dytiscidae,Laccophilus biguttatus,1,Dytiscidae,Laccophilus biguttatus
CABIN-W298,9-Mar-20,Chironomidae,SNI,SNI,,,
CABIN-W298,24-Mar-20,Chironomidae,Chironominae,Chironomus sp. C RPH,,,
CABIN-W298,24-Mar-20,Chironomidae,Chironominae,Endochironomus sp.,,,
CABIN-W298,24-Mar-20,Chironomidae,Chironominae,UID,,,
CABIN-W298,24-Mar-20,Chironomidae,Orthocladiinae,Corynoneura sp. C RPH,,,
CABIN-W298,,Ceratopogonidae,,,,,
CABIN-W298,,Tabanidae,,,,,
CABIN-W298,,Tipulidae,,,,,
CABIN-W298,,Culicidae,,,,,
CABIN-W298,19-Jun-19,Chaoboridae,Chaoboridae,Chaoborus americanus,97,Chaoboridae,Chaoborus americanus
CABIN-W298,,Simuliidae,,,,,
CABIN-W298,,Other Diptera,,,,,
CABIN-W298,,Other: ,,,,,
CABIN-W298,19-Jun-19,UMOS,Baetidae,Callibaetis sp.,,,
CABIN-W298,19-Jun-19,UMOS,Lestidae,Lestes sp.,,,
CABIN-W298,21-Jun-19,UMOS,Gerridae,Limnoporus sp.,1,Gerridae,Limnoporus dissortis
CABIN-W298,19-Jun-19,UMOS,Notonectidae,Notonecta sp.,,,
CABIN-W298,19-Jun-19,UMOS,Limnephilidae,Nemotaulius hostilis,1,Limnephilidae,Nemotaulius hostilis
CABIN-W298,21-Jun-19,UMOS,Dytiscidae,Neoporus undulatus,1,Dytiscidae,Neoporus undulatus
CABIN-W298,21-Jun-19,UMOS,Hydrophilidae,Cymbiodyta acuminata,1,Hydrophilidae,Cymbiodyta acuminata
CABIN-W298,19-Jun-19,UMOS,Dytiscidae,Graphoderus liberus,5,Dytiscidae,Graphoderus liberus
CABIN-W298,19-Jun-19,UMOS,Dytiscidae,Graphoderus perplexus,4,Dytiscidae,Graphoderus perplexus
CABIN-W299,,Porifera,,,,,
CABIN-W299,,Hydrozoa,,,,,
CABIN-W299,,Platyhelminthes,,,,,
CABIN-W299,,Nematoda,,,,,
CABIN-W299,15-Jun-20,Oligochaeta,SNI,SNI,,,
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,UID,,,
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster sp.
CABIN-W299,,Oligochaeta,,split,17,Naididae,Chaetogaster diaphanus
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,29,Naididae,Stylaria lacustris
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,UID,0,,
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,UID
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,4,Naididae,Nais variabilis
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,UID,1,Naididae,Slavina appendiculata
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,UID,16,Naididae,UID
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,90,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,15-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W299,22-Jul-19,Hirudinea,Erpobdellidae,Erpobdella sp.,,,
CABIN-W299,22-Jul-19,Hirudinea,Glossiphoniidae,UID,1,Glossiphoniidae,Glossiphonia elegans
CABIN-W299,22-Jul-19,Hirudinea,UID,UID,,,
CABIN-W299,24-Jun-19,Gastropoda,Lymnaeidae,Lymnaea stagnalis,,,
CABIN-W299,24-Jun-19,Gastropoda,Planorbidae,Gyraulus crista,,,
CABIN-W299,24-Jun-19,Gastropoda,Planorbidae,Gyraulus circumstriatus,,,
CABIN-W299,24-Jun-19,Gastropoda,Planorbidae,Gyraulus sp.,,,
CABIN-W299,24-Jun-19,Gastropoda,Planorbidae,UID,,,
CABIN-W299,24-Jun-19,Bivalvia,Sphaeriidae,UID,,,
CABIN-W299,21-Oct-20,Hydrachnidia,Arrenuridae,Arrenurus sp.,,,
CABIN-W299,21-Oct-20,Hydrachnidia,Hydrachnidae,Hydrachna sp.,,,
CABIN-W299,21-Oct-20,Hydrachnidia,Hydrodromidae,Hydrodroma sp.,,,
CABIN-W299,21-Oct-20,Hydrachnidia,Hygrobatidae,Corticacarus sp.,,,
CABIN-W299,21-Oct-20,Acari,Hydrozetidae,Hydrozetes sp.,,,
CABIN-W299,,Cladocera,,,,,
CABIN-W299,,Ostracoda,,,,,
CABIN-W299,,Copepoda,,,,,
CABIN-W299,24-Jun-19,Amphipoda,Gammaridae,Gammarus sp.,2,Gammaridae,Gammarus sp.
CABIN-W299,24-Jun-19,Amphipoda,Hyalellidae,Hyalella sp.,,,
CABIN-W299,24-Jun-19,Amphipoda,UID,UID,17,Hyalellidae,Hyalella sp.
CABIN-W299,,Isopoda,,,,,
CABIN-W299,,Decapoda,,,,,
CABIN-W299,24-Jun-19,Ephemeroptera,Baetidae ,Procloeon sp.,,,
CABIN-W299,24-Jun-19,Ephemeroptera,Baetidae,UID,,,
CABIN-W299,24-Jun-19,Ephemeroptera,Caenidae,Caenis youngi,,,
CABIN-W299,24-Jun-19,Ephemeroptera,Caenidae,Caenis sp.,,,
CABIN-W299,24-Jun-19,Ephemeroptera,Caenidae,UID,,,
CABIN-W299,24-Jun-19,Ephemeroptera,UID,UID,,,
CABIN-W299,24-Jun-19,Anisoptera,Libellulidae,Leucorrhinia sp.,,,
CABIN-W299,24-Jun-19,Anisoptera,Libellulidae,UID,,,
CABIN-W299,24-Jun-19,Anisoptera,UID,UID,,,
CABIN-W299,24-Jun-19,Zygoptera,Coenagrionidae,Enallagma sp.,,,
CABIN-W299,24-Jun-19,Zygoptera,Coenagrionidae,UID,,,
CABIN-W299,24-Jun-19,Zygoptera,UID,UID,,,
CABIN-W299,,Plecoptera,,,,,
CABIN-W299,24-Jun-19,Hemiptera,Notonectidae,Notonecta undulata,1,Notonectidae,Notonecta undulata
CABIN-W299,24-Jun-19,Hemiptera,Notonectidae,Notonecta sp.,,,
CABIN-W299,24-Jun-19,Hemiptera,Corixidae,Cymatia americana,2,Corixidae,Cymatia americana
CABIN-W299,24-Jun-19,Hemiptera,Corixidae,Cymatia sp.,,,
CABIN-W299,,Megaloptera,,,,,
CABIN-W299,,Lepidoptera,,,,,
CABIN-W299,24-Jun-19,Trichoptera,Phryganeidae,UID,,,
CABIN-W299,,Coleoptera (adults),,,,,
CABIN-W299,25-Jun-19,Coleoptera (larvae),Dytiscidae,Hydroporus sp.,1,Dytiscidae,Hydroporus sp.
CABIN-W299,9-Mar-20,Chironomidae,SNI,SNI,,,
CABIN-W299,24-Mar-20,Chironomidae,Chironominae,Dicrotendipes sp. B RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Chironominae,Dicrotendipes sp.,,,
CABIN-W299,24-Mar-20,Chironomidae,Chironominae,Paratanytarsus sp. B RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Chironominae,Paratanytarsus sp.,,,
CABIN-W299,24-Mar-20,Chironomidae,Chironominae,Tanytarsus sp. C RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Chironominae,Tanytarsus sp. D RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Chironominae,Tanytarsus sp.,,,
CABIN-W299,24-Mar-20,Chironomidae,Chironominae,Xenochironomus sp.,,,
CABIN-W299,24-Mar-20,Chironomidae,Orthocladiinae,Corynoneura sp.,,,
CABIN-W299,24-Mar-20,Chironomidae,Orthocladiinae,Cricotopus sp. B RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Orthocladiinae,Cricotopus sp. D RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Orthocladiinae,Cricotopus sp.,,,
CABIN-W299,24-Mar-20,Chironomidae,Orthocladiinae,Nanocladius sp. A RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Orthocladiinae,Psectrocladius sp. A RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Orthocladiinae,Psectrocladius sp. D RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Orthocladiinae,Psectrocladius sp.,,,
CABIN-W299,24-Mar-20,Chironomidae,Orthocladiinae,UID,,,
CABIN-W299,24-Mar-20,Chironomidae,Tanypodinae,Genus 3 RPH,,,
CABIN-W299,24-Mar-20,Chironomidae,Tanypodinae,Labrundinia neopilosella,,,
CABIN-W299,30-Oct-20,Ceratopogonidae,Ceratopogoninae,Bezzia/Probezzia/Palpomyia sp.,,,
CABIN-W299,30-Oct-20,Ceratopogonidae,Ceratopogoninae,Ceratopogon/Culicoides/Stilobezzia sp.,,,
CABIN-W299,,Tabanidae,,,,,
CABIN-W299,,Tipulidae,,,,,
CABIN-W299,,Culicidae,,,,,
CABIN-W299,25-Jun-19,Chaoboridae,Chaoboridae,Chaoborus sp.,,,
CABIN-W299,,Simuliidae,,,,,
CABIN-W299,,Other Diptera,,,,,
CABIN-W299,,Other: ,,,,,
CABIN-W299,25-Jun-19,UMOS,Lymnaeidae,Lymnaea stagnalis,,,
CABIN-W299,25-Jun-19,UMOS,Aeshnidae,Aeshna eremita,1,Aeshnidae,Aeshna sp.
CABIN-W299,25-Jun-19,UMOS,Notonectidae,Notonecta undulata,,,
CABIN-W299,25-Jun-19,UMOS,Corixidae,Cymatia americana,,,
CABIN-W299,25-Jun-19,UMOS,Gyrinidae,Gyraulus wallisi/aeratus,1,Gyrinidae,Gyrinus wallisi/aeratus
CABIN-W299,25-Jun-19,UMOS,Dytiscidae,Graphoderus perplexus,,,
CABIN-W418,,Porifera,,,,,
CABIN-W418,,Hydrozoa,,,,,
CABIN-W418,,Platyhelminthes,,,,,
CABIN-W418,,Nematoda,,,,,
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
