Site Number,Sorted By,Date Sorted,Coarse Sorting Group,Coarse Sorting Count,Number of Cells Counted in Marchant Box,Lab Comments,Identified By,Identification Date ,Family          (Sub-family for Chironomidae),Genus & Species,Life Stage,Advanced ID Count,Reference Used,Advanced ID Comments,Number of Specimens,Verified by,Verification Date,Family,Genus & Species,Reference Used,Verification Comments,Voucher Selected By,Date Selected,Number of Voucher Specimens ,Vial,Number of Non-voucher Specimens,TMS number,Date Entered in TMS,Comments
W19,TAS,23-Aug-2018,Isopoda,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Decapoda,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Ephemeroptera,92,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Anisoptera,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Zygoptera,20,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Plecoptera,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Hemiptera,3,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Megaloptera,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Lepidoptera,1,13,,ALA,18-Jun-2020,Crambidae,Elophila sp.,larva,1,Merritt 2019,,1,ALA,1-Dec-20,Crambidae,UID,Merritt 2019,,ALA,18-Jun-2020,1,mv,0,ABMI.A.42711,,
W19,TAS,23-Aug-2018,Trichoptera,2,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Coleoptera (adults),1,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Coleoptera (larvae),2,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Chironomidae,32,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Ceratopogonidae,1,13,,ALA,11-Jun-2020,Ceratopogoninae,Bezzia/Palpomyia/Probezzia sp.,larva,1,Merritt 2019,several genera not distinguishable,,,,,,,,ALA,11-Jun-2020,1,mv,0,ABMI.A.42709,,
W19,TAS,23-Aug-2018,Tabanidae,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Tipulidae,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Culicidae,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Chaoboridae,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Simuliidae,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Other Diptera,0,13,,,,,,,,,,,,,,,,,,,,,,,,
W19,TAS,23-Aug-2018,Other: Conchostraca,6,13,,ALA,11-Jun-2020,Lynceidae,Lynceus sp.,unknown,6,Thorp 2016,"uncertain, looks like 4 females and 2 males",,,,,,,,ALA,11-Jun-2020,6,mv,0,ABMI.A.42710,,
W19,TAS,23-Aug-2018,UMOS,9,13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Oligochaeta,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Hirudinea,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Gastropoda,11,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Bivalvia,9,100,,ALA,18-Jun-2020,Sphaeriidae,UID,unknown,9,Clifford 1991,,,,,,,,,ALA,18-Jun-2020,0,mv,9,VNA,,
W39,ALA,31-Aug-2018,Hydrachnidia,2,100,,ALA,18-Jun-2020,Arrenuridae,Arrenurus sp.,adult,1,Proctor 2006,,,,,,,,,ALA,18-Jun-2020,1,mv,0,ABMI.A.42712,,
W39,ALA,31-Aug-2018,Hydrachnidia,split,100,,ALA,18-Jun-2020,UID,UID,deutonymph,1,Proctor 2006,uncertain,,,,,,,,ALA,18-Jun-2020,0,mv,1,VNA,,
W39,ALA,31-Aug-2018,Amphipoda,24,100,,ALA,18-Jun-2020,Hyalellidae,Hyalella sp.,unknown,24,Thorp 2016,,,,,,,,,ALA,19-Jun-2020,1,mv,0,ABMI.A.42713,,
W39,ALA,31-Aug-2018,Isopoda,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Decapoda,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Ephemeroptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Anisoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Zygoptera,1,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Plecoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Hemiptera,18,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Megaloptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Lepidoptera,1,100,,ALA,18-Jun-2020,Crambidae,Elophila sp.,larva,1,Merritt 2019,,1,ALA,1-Dec-20,Crambidae,UID,Merritt 2019,,ALA,18-Jun-2020,1,mv,0,ABMI.A.42714,,
W39,ALA,31-Aug-2018,Trichoptera,21,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Coleoptera (adults),2,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Coleoptera (larvae),1,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Chironomidae,9,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Ceratopogonidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Tabanidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Tipulidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Culicidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Chaoboridae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Simuliidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,Other Diptera,1,100,,ALA,18-Jun-2020,Dixidae,Dixella sp.,larva,1,Merritt 2019,,,,,,,,,ALA,18-Jun-2020,1,mv,0,ABMI.A.42715,,
W39,ALA,31-Aug-2018,Other: ,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W39,ALA,31-Aug-2018,UMOS,VNA,100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Oligochaeta,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Hirudinea,2,27,,ALA,25-Jun-2020,Erpobdellidae,UID,unknown,2,Clifford 1991,,,,,,,,,ALA,25-Jun-2020,0,mv,0,VNA,,
W298,WMO,24-Aug-2018,Gastropoda,4,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Bivalvia,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Hydrachnidia,5,27,,ALA,25-Jun-2020,Limnesiidae,Limnesia,adult,3,Proctor 2006,,,,,,,,,ALA,25-Jun-2020,3,mv,0,ABMI.A.42707,,
W298,WMO,24-Aug-2018,Hydrachnidia,split,27,,ALA,22-Oct-2020,Pionidae,Piona sp.,adult,2,Proctor 2006,uncertain,,,,,,,,ALA,22-Oct-2020,2,mv,0,ABMI.A.42946,,
W298,WMO,24-Aug-2018,Amphipoda,26,27,,ALA,25-Jun-2020,Hyalellidae,Hyalella sp.,unknown,26,Thorp 2016,,,,,,,,,ALA,25-Jun-2020,26,mv,0,ABMI.A.42716,,
W298,WMO,24-Aug-2018,Isopoda,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Decapoda,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Ephemeroptera,2,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Anisoptera,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Zygoptera,4,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Plecoptera,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Hemiptera,25,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Megaloptera,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Lepidoptera,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Trichoptera,1,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Coleoptera (adults),0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Coleoptera (larvae),2,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Chironomidae,10,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Ceratopogonidae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Tabanidae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Tipulidae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Culicidae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Chaoboridae,271,27,,ALA,25-Jun-2020,Chaoborinae,Chaoborus americanus,larva,271,Haney 2013,,,,,,,,,ALA,25-Jun-2020,271,scv,0,ABMI.A.42717,,
W298,WMO,24-Aug-2018,Simuliidae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Other Diptera,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,Other: ,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W298,WMO,24-Aug-2018,UMOS,17,27,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Oligochaeta,8,4,,ALA,23-Oct-2020,Naididae,Chaetogaster sp.,unknown,1,Thorp 2016,,1,ALA,17-Nov-20,Naididae,Chaetogaster diaphanus,Brinkhurst 1986,,ALA,23-Oct-2020,1,slide,0,ABMI.A.42719,,
W299,SPA,23-Aug-2018,Oligochaeta,split,4,,ALA,23-Oct-2020,Naididae,Stylaria lacustris,unknown,2,Thorp 2016,,3,ALA,17-Nov-20,Naididae,Stylaria lacustris,Brinkhurst 1986,,ALA,23-Oct-2020,2,slide,0,ABMI.A.42954,,
W299,SPA,23-Aug-2018,Oligochaeta,split,4,,ALA,23-Oct-2020,Naididae,Nais sp.,unknown,1,Thorp 2016,,1,ALA,17-Nov-20,Naididae,Nais simplex,Brinkhurst 1986,,ALA,23-Oct-2020,0,slide,1,VNA,,
W299,SPA,23-Aug-2018,Oligochaeta,split,4,,,,,split,,split,,,1,ALA,17-Nov-20,Naididae,Nais variabilis,Brinkhurst 1986,,ALA,17-Nov-2020,0,slide,1,VNA,,
W299,SPA,23-Aug-2018,Oligochaeta,split,4,,ALA,23-Oct-2020,Naididae,UID,unknown,1,Thorp 2016,,0,,,,,,moved to species IDs above,ALA,23-Oct-2020,0,slide,0,VNA,,
W299,SPA,23-Aug-2018,Hirudinea,4,4,,ALA,25-Jun-2020,Erpobdellidae,Nephelopsis obscura,unknown,2,Clifford 1991,,,,,,,,,ALA,25-Jun-2020,2,mv,0,ABMI.A.42720,,
W299,SPA,23-Aug-2018,Hirudinea,split,4,,ALA,25-Jun-2020,Erpobdellidae,UID,unknown,2,Clifford 1991,,,,,,,,,ALA,25-Jun-2020,0,mv,2,VNA,,
W299,SPA,23-Aug-2018,Gastropoda,133,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Bivalvia,4,4,,ALA,25-Jun-2020,Sphaeriidae,UID,unknown,4,Clifford 1991,,,,,,,,,ALA,25-Jun-2020,0,mv,4,VNA,,
W299,SPA,23-Aug-2018,Hydrachnidia,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Amphipoda,147,4,,ALA,25-Jun-2020,Gammaridae,Gammarus sp.,unknown,8,Clifford 1991,,,,,,,,,ALA,25-Jun-2020,8,mv,0,ABMI.A.42721,,
W299,SPA,23-Aug-2018,Amphipoda,split,4,,ALA,25-Jun-2020,Hyalellidae,Hyalella sp.,unknown,139,Clifford 1991,,,,,,,,,ALA,25-Jun-2020,139,scv,0,ABMI.A.42722,,
W299,SPA,23-Aug-2018,Isopoda,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Decapoda,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Ephemeroptera,45,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Anisoptera,1,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Zygoptera,16,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Plecoptera,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Hemiptera,1,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Megaloptera,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Lepidoptera,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Trichoptera,1,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Coleoptera (adults),1,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Coleoptera (larvae),0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Chironomidae,18,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Ceratopogonidae,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Tabanidae,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Tipulidae,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Culicidae,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Chaoboridae,2,4,,ALA,25-Jun-2020,Chaoborinae,Chaoborus americanus,larva,2,Haney 2013,,,,,,,,,ALA,25-Jun-2020,2,mv,0,ABMI.A.42723,,
W299,SPA,23-Aug-2018,Simuliidae,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Other Diptera,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,Other: ,0,4,,,,,,,,,,,,,,,,,,,,,,,,
W299,SPA,23-Aug-2018,UMOS,11,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Oligochaeta,3,100,,ALA,23-Oct-2020,Naididae,Stylaria lacustris,unknown,1,Thorp 2016,,,,,,,,,ALA,23-Oct-2020,1,slide,0,ABMI.A.42724,,
W418,TAS,20-Aug-2018,Oligochaeta,split,100,,ALA,23-Oct-2020,Naididae,Nais sp.,unknown,1,Thorp 2016,,1,ALA,17-Nov-20,Naididae,Nais variabilis,Brinkhurst 1986,,ALA,23-Oct-2020,1,slide,0,ABMI.A.42956,,
W418,TAS,20-Aug-2018,Hirudinea,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Gastropoda,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Bivalvia,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Hydrachnidia,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Amphipoda,4,100,,ALA,9-Jul-2020,Hyalellidae,Hyalella sp.,unknown,4,Thorp 2016,,,,,,,,,ALA,9-Jul-2020,4,mv,0,ABMI.A.42725,,
W418,TAS,20-Aug-2018,Isopoda,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Decapoda,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Ephemeroptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Anisoptera,1,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Zygoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Plecoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Hemiptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Megaloptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Lepidoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Trichoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Coleoptera (adults),0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Coleoptera (larvae),1,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Chironomidae,20,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Ceratopogonidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Tabanidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Tipulidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Culicidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Chaoboridae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Simuliidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Other Diptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,Other: ,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W418,TAS,20-Aug-2018,UMOS,VNA,100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Oligochaeta,135,27,,ALA,23-Oct-2020,Naididae,Stylaria lacustris,unknown,92,Thorp 2016,,111,ALA,17-Nov-20,Naididae,Stylaria lacustris,Brinkhurst 1986,,ALA,23-Oct-2020,10,slide,101,ABMI.A.42726,,
W419,JBO,21-Aug-2018,Oligochaeta,split,27,,ALA,23-Oct-2020,Naididae,Slavina appendiculata,unknown,8,Thorp 2016,,15,ALA,17-Nov-20,Naididae,Slavina appendiculata,Brinkhurst 1986,,ALA,23-Oct-2020,1,slide,14,ABMI.A.42957,,
W419,JBO,21-Aug-2018,Oligochaeta,split,27,,ALA,23-Oct-2020,Naididae,Nais sp.,unknown,4,Thorp 2016,slides shared with other taxa,5,ALA,17-Nov-20,Naididae,Nais variabilis,Brinkhurst 1986,,ALA,23-Oct-2020,0,slide,5,VNA,,
W419,JBO,21-Aug-2018,Oligochaeta,split,27,,,,,split,,split,,,3,ALA,17-Nov-20,Naididae,Nais communis,Brinkhurst 1986,,ALA,17-Nov-2020,0,slide,3,VNA,,
W419,JBO,21-Aug-2018,Oligochaeta,split,27,,ALA,23-Oct-2020,Naididae,Pristina sp.,unknown,1,Thorp 2016,slides shared with other taxa,1,ALA,17-Nov-20,Naididae,Pristina leidyi/longiseta,Brinkhurst 1986,,ALA,23-Oct-2020,0,slide,1,VNA,,
W419,JBO,21-Aug-2018,Oligochaeta,split,27,,ALA,23-Oct-2020,Naididae,UID,unknown,26,Thorp 2016,,3,ALA,17-Nov-20,Naididae,UID,Brinkhurst 1986,,ALA,23-Oct-2020,0,slide,3,VNA,,
W419,JBO,21-Aug-2018,Hirudinea,2,27,,ALA,9-Jul-2020,Erpobdellidae,UID,unknown,2,Clifford 1991,,,,,,,,,ALA,9-Jul-2020,0,mv,2,VNA,,
W419,JBO,21-Aug-2018,Gastropoda,7,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Bivalvia,5,27,,ALA,9-Jul-2020,Sphaeriidae,UID,unknown,5,Clifford 1991,,,,,,,,,ALA,9-Jul-2020,0,mv,5,VNA,,
W419,JBO,21-Aug-2018,Hydrachnidia,12,27,,ALA,9-Jul-2020,Arrenuridae,Arrenurus sp.,adult,2,Proctor 2006,male and female,,,,,,,,ALA,9-Jul-2020,2,mv,0,ABMI.A.42727,,
W419,JBO,21-Aug-2018,Hydrachnidia,split,27,,ALA,9-Jul-2020,Limnocharidae,Limnochares sp.,adult,1,Proctor 2006,,,,,,,,,ALA,9-Jul-2020,1,mv,0,ABMI.A.42728,,
W419,JBO,21-Aug-2018,Hydrachnidia,split,27,,ALA,9-Jul-2020,Pionidae,Piona sp.,adult,1,Proctor 2006,male,,,,,,,,ALA,9-Jul-2020,1,mv,0,ABMI.A.42729,,
W419,JBO,21-Aug-2018,Hydrachnidia,split,27,,ALA,22-Oct-2020,Limnesiidae,Limnesia sp.,adult,3,Proctor 2006,,,,,,,,,ALA,22-Oct-2020,3,mv,0,ABMI.A.42947,,
W419,JBO,21-Aug-2018,Hydrachnidia,split,27,,ALA,9-Jul-2020,UID,UID,adult,5,Proctor 2006,deutonymphs,,,,,,,,ALA,9-Jul-2020,0,mv,5,VNA,,
W419,JBO,21-Aug-2018,Amphipoda,24,27,,ALA,9-Jul-2020,Hyalellidae,Hyalella sp.,unknown,24,Thorp 2016,,,,,,,,,ALA,9-Jul-2020,24,mv,0,ABMI.A.42730,,
W419,JBO,21-Aug-2018,Isopoda,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Decapoda,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Ephemeroptera,11,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Anisoptera,39,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Zygoptera,6,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Plecoptera,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Hemiptera,9,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Megaloptera,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Lepidoptera,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Trichoptera,5,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Coleoptera (adults),0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Coleoptera (larvae),2,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Chironomidae,93,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Ceratopogonidae,2,27,,ALA,9-Jul-2020,Certopogoninae,Bezzia/Palpomyia/Probezzia sp.,larva,2,Merritt 2019,several genera not distinguishable,,,,,,,,ALA,9-Jul-2020,2,mv,0,ABMI.A.42731,,
W419,JBO,21-Aug-2018,Tabanidae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Tipulidae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Culicidae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Chaoboridae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Simuliidae,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,Other Diptera,2,27,,ALA,9-Jul-2020,Tabanidae,Chrysops sp.,larva,1,Merritt 2019,,,,,,,,,ALA,9-Jul-2020,1,slide,0,ABMI.A.42732,,
W419,JBO,21-Aug-2018,Other Diptera,split,27,,ALA,9-Jul-2020,UID,UID,larva,1,Merritt 2019,?,,,,,,,,ALA,9-Jul-2020,1,slide,0,ABMI.A.42733,,
W419,JBO,21-Aug-2018,Other: ,0,27,,,,,,,,,,,,,,,,,,,,,,,,
W419,JBO,21-Aug-2018,UMOS,12,27,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
