Row,Target_Group,Coarse_Group,Phylum,Class,Order,Family,Subfamily,Genus,Species,Final_ID_portal,Final_ID,Scientific_Name,Rank,Scientific_Name_Analysis,Analysis_Name,Analysis_Mode,Analysis_Grouping,Analysis_Rank,Distribution_Method,Feeding_Group,Feeding_mode,Conductivity_Sensitivity,DO2_Sensitivity,DOC_Sensitivity,pH_High_Sensitivity,pH_Low_Sensitivity,TN_Sensitivity,TP_Sensitivity,Notes
11,Non-target,Amphipoda,Arthropoda,Malacostraca,Amphipoda,UID,VNA,UID,UID,Amphipoda UID,Amphipoda UID,Amphipoda UID,Coarse_Group,Amphipoda UID,Amphipoda.UID,Abundance,Amphipoda,Coarse,VNA,Collector,gatherer,7,6,9,7,10,6,5,
12,Non-target,Bivalvia,Mollusca,Bivalvia,UID,UID,VNA,UID,UID,Bivalvia UID,Bivalvia UID,Bivalvia UID,Coarse_Group,Bivalvia UID,Bivalvia.UID,Abundance,Bivalvia,Coarse,VNA,Collector,filter,9,5,9,9,9,7,7,
13,Non-target,Bivalvia,Mollusca,Bivalvia,Veneroida,Pisidiidae,VNA,Pisidium,sp.,Pisidium,Pisidium sp.,Pisidium sp.,Genus,Pisidium sp.,Pisidium.sp.,Abundance,Bivalvia,Coarse,VNA,Collector,filter,9,5,9,9,9,7,7,
14,Non-target,Bivalvia,Mollusca,Bivalvia,Veneroida,Pisidiidae,VNA,Sphaerium,sp.,Sphaerium,Sphaerium sp.,Sphaerium sp.,Genus,Sphaerium sp.,Sphaerium.sp.,Abundance,Bivalvia,Coarse,VNA,Collector,filter,9,5,9,9,9,7,7,
15,Non-target,Bivalvia,Mollusca,Bivalvia,Veneroida,Pisidiidae,VNA,UID,UID,Pisidiidae UID,Pisidiidae UID,Pisidiidae UID,Family,Pisidiidae UID,Pisidiidae.UID,Abundance,Bivalvia,Coarse,VNA,Collector,filter,9,5,9,9,9,7,7,
16,Non-target,Ceratopogonidae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Bezzia/Probezzia/Palpomyia,VNA,Bezzia/Probezzia/Palpomyia,Bezzia/Probezzia/Palpomyia,Bezzia/Probezzia/Palpomyia,Complex,Bezzia/Probezzia/Palpomyia,Bezzia.Probezzia.Palpomyia,Presence,Ceratopogonidae,Coarse,VNA,Predator,engulfer,8,5,9,7,9,7,6,
17,Non-target,Ceratopogonidae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Bezzia/Probezzia/Palpomyia,VNA,Bezzia/Palpomyia/Probezzia,Bezzia/Probezzia/Palpomyia,Bezzia/Probezzia/Palpomyia,Complex,Bezzia/Probezzia/Palpomyia,Bezzia.Probezzia.Palpomyia,Presence,Ceratopogonidae,Coarse,VNA,Predator,engulfer,8,5,9,7,9,7,6,
18,Non-target,Ceratopogonidae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Ceratopogon/Culicoides/Stilobezzia,VNA,Ceratopogon/Culicoides/Stilobezzia,Ceratopogon/Culicoides/Stilobezzia,Ceratopogon/Culicoides/Stilobezzia,Complex,Ceratopogon/Culicoides/Stilobezzia ,Ceratopogon.Culicoides.Stilobezzia,Presence,Ceratopogonidae,Coarse,VNA,Predator,engulfer,8,5,9,7,9,7,6,
19,Non-target,Ceratopogonidae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyheleinae ,Dasyhelea,sp.,Dasyhelea,Dasyhelea sp.,Dasyhelea sp.,Genus,Dasyhelea sp.,Dasyhelea.sp.,Presence,Ceratopogonidae,Coarse,VNA,Predator,engulfer,8,5,9,7,9,7,6,
20,Non-target,Ceratopogonidae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,Atrichopogon,sp.,Atrichopogon,Atrichopogon sp.,Atrichopogon sp.,Genus,Atrichopogon sp.,Atrichopogon.sp.,Presence,Ceratopogonidae,Coarse,VNA,Predator,engulfer,8,5,9,7,9,7,6,
21,Non-target,Ceratopogonidae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,Forcipomyia,sp.,Forcipomyia,Forcipomyia sp.,Forcipomyia sp.,Genus,Forcipomyia sp.,Forcipomyia.sp.,Presence,Ceratopogonidae,Coarse,VNA,Predator,engulfer,8,5,9,7,9,7,6,
22,Non-target,Ceratopogonidae,Arthropoda,Insecta,Diptera,Ceratopogonidae,UID,UID,UID,Ceratopogonidae UID,Ceratopogonidae UID,Ceratopogonidae UID,Coarse_Group,Ceratopogonidae UID,Ceratopogonidae.UID,Presence,Ceratopogonidae,Coarse,VNA,Predator,engulfer,8,5,9,7,9,7,6,
23,Non-target,Chaoboridae,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborinae,Chaoborus,americanus,Chaoborus americanus,Chaoborus americanus,Chaoborus americanus,Species,Chaoborus americanus,Chaoborus.americanus,Abundance,Chaoboridae,Coarse,VNA,Predator,engulfer,8,3,9,8,9,7,6,
24,Non-target,Chaoboridae,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborinae,Chaoborus,flavicans,Chaoborus flavicans,Chaoborus flavicans,Chaoborus flavicans,Species,Chaoborus flavicans,Chaoborus.flavicans,Abundance,Chaoboridae,Coarse,VNA,Predator,engulfer,8,3,9,8,9,7,6,
25,Non-target,Chaoboridae,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborinae,Chaoborus,sp.,Chaoborus,Chaoborus sp.,Chaoborus sp.,Genus,Chaoborus sp.,Chaoborus.sp.,Abundance,Chaoboridae,Coarse,VNA,Predator,engulfer,8,3,9,8,9,7,6,
26,Non-target,Chaoboridae,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborinae,Chaoborus,sp.,Chaoboridae,Chaoborus sp.,Chaoborus sp.,Genus,Chaoborus sp.,Chaoborus.sp.,Abundance,Chaoboridae,Coarse,VNA,Predator,engulfer,8,3,9,8,9,7,6,
27,Non-target,Chaoboridae,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborinae,Chaoborus,trivittatus,Chaoborus trivittatus,Chaoborus trivittatus,Chaoborus trivittatus,Species,Chaoborus trivittatus,Chaoborus.trivittatus,Abundance,Chaoboridae,Coarse,VNA,Predator,engulfer,8,3,9,8,9,7,6,
28,Non-target,Chaoboridae,Arthropoda,Insecta,Diptera,Chaoboridae,UID,UID,UID,Chaoboridae UID,Chaoboridae UID,Chaoboridae UID,Coarse_Group,Chaoboridae UID,Chaoboridae.UID,Abundance,Chaoboridae,Coarse,VNA,Predator,engulfer,8,3,9,8,9,7,6,
29,Non-target,Culicidae,Arthropoda,Insecta,Diptera,Culicidae,UID,UID,UID,Culicidae UID,Culicidae UID,Culicidae UID,Coarse_Group,Culicidae UID,Culicidae.UID,Presence,Culicidae,Coarse,VNA,Collector,filter,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
30,Non-target,Hirudinea,Annelida ,Clitellata,Arhyncobdellida,Erpobdellidae,Erpobdellinae,Erpobdella,cf. punctata,Erpobdella cf. punctata,Erpobdella cf. punctata,Erpobdella cf. punctata,Species,Erpobdella cf. punctata,Erpobdella.cf.punctata,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
31,Non-target,Hirudinea,Annelida ,Clitellata,Arhyncobdellida,Erpobdellidae,Erpobdellinae,Erpobdella,obscura,Erpobdella obscura,Nephelopsis obscura,Nephelopsis obscura,Species,Nephelopsis obscura,Nephelopsis.obscura,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
32,Non-target,Hirudinea,Annelida ,Clitellata,Arhyncobdellida,Erpobdellidae,Erpobdellinae,Nephelopsis,obscura,Nephelopsis obscura,Nephelopsis obscura,Nephelopsis obscura,Species,Nephelopsis obscura,Nephelopsis.obscura,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
33,Non-target,Hirudinea,Annelida ,Clitellata,Arhyncobdellida,Erpobdellidae,Erpobdellinae,Erpobdella,sp.,Erpobdella,Erpobdella sp.,Erpobdella sp.,Genus,Erpobdella sp.,Erpobdella.sp.,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
34,Non-target,Hirudinea,Annelida ,Clitellata,Arhyncobdellida,Erpobdellidae,UID,UID,UID,Erpobdellidae UID,Erpobdellidae UID,Erpobdellidae UID,Family,Erpobdellidae UID,Erpobdellidae.UID,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
35,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Glossiphoniidae,Glossiphonia,elegans,Glossiphonia elegans,Glossiphonia elegans,Glossiphonia elegans,Species,Glossiphonia elegans,Glossiphonia.elegans,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
36,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Glossiphoniidae,Glossiphonia,sp.,Glossiphonia,Glossiphonia sp.,Glossiphonia sp.,Genus,Glossiphonia sp.,Glossiphonia.sp.,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
37,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Glossiphoniidae,Placobdella,ornata,Placobdella ornata,Placobdella ornata,Placobdella ornata,Species,Placobdella ornata,Placobdella.ornata,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
38,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Glossiphoniidae,Placobdella,papillifera,Placobdella papillifera,Placobdella papillifera,Placobdella papillifera,Species,Placobdella papillifera,Placobdella.papillifera,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
39,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Glossiphoniidae,Placobdella,sp.,Placobdella,Placobdella sp.,Placobdella sp.,Genus,Placobdella sp.,Placobdella.sp.,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
40,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Haementeriinae,Helobdella,cf. stagnalis,Helobdella cf. stagnalis,Helobdella cf. stagnalis,Helobdella cf. stagnalis,Species,Helobdella cf. stagnalis,Helobdella.cf.stagnalis,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
41,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Haementeriinae,Helobdella,stagnalis,Helobdella cf. stagnalis,Helobdella cf. stagnalis,Helobdella cf. stagnalis,Species,Helobdella cf. stagnalis,Helobdella.cf.stagnalis,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
42,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Haementeriinae,Helobdella,papillata,Helobdella papillata,Helobdella papillata,Helobdella papillata,Species,Helobdella papillata,Helobdella.papillata,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
43,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Haementeriinae,Helobdella,sp.,Helobdella,Helobdella sp.,Helobdella sp.,Genus,Helobdella sp.,Helobdella.sp.,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
44,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,Theromyzinae,Theromyzon,sp.,Theromyzon,Theromyzon sp.,Theromyzon sp.,Genus,Theromyzon sp.,Theromyzon.sp.,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
45,Non-target,Hirudinea,Annelida ,Clitellata,Hirudinida,Glossiphoniidae,UID,UID,UID,Glossiphoniidae UID,Glossiphoniidae UID,Glossiphoniidae UID,Family,Glossiphoniidae UID,Glossiphoniidae.UID,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
46,Non-target,Hirudinea,UID,UID,UID,UID,UID,UID,UID,Hirudinea UID,Hirudinea UID,Hirudinea UID,Coarse_Group,Hirudinea UID,Hirudinea.UID,Presence,Hirudinea,Coarse,VNA,Predator,engulfer,9,5,9,7,10,7,5,some samples biased with large numbers of newly hatched juveniles
47,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Mesostigmata,Ascidae,VNA,Platyseius,spinivertex,Platyseius spinivertex,Platyseius spinivertex,Platyseius spinivertex,Species,Platyseius spinivertex,Platyseius.spinivertex,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
48,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Mesostigmata,Parasitidae,VNA,Gamasodes,sp.,Gamasodes,Gamasodes sp.,Gamasodes sp.,Genus,Gamasodes sp.,Gamasodes.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
49,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Ceratozetidae,VNA,Trichoribates,copperminensis,Trichoribates copperminensis,Trichoribates copperminensis,Trichoribates copperminensis,Species,Trichoribates copperminensis,Trichoribates.copperminensis,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
50,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Hydrozetidae,VNA,Hydrozetes,sp.,Hydrozetes,Hydrozetes sp.,Hydrozetes sp.,Genus,Hydrozetes sp.,Hydrozetes.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
51,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Limnozetidae,VNA,Limnozetes,canadensis,Limnozetes canadensis,Limnozetes canadensis,Limnozetes canadensis,Species,Limnozetes canadensis,Limnozetes.canadensis,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
52,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Limnozetidae,VNA,Limnozetes,sp.,Limnozetes,Limnozetes sp.,Limnozetes sp.,Genus,Limnozetes sp.,Limnozetes.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
53,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Malaconothridae,VNA,Trimalaconothrus,foveolatus,Trimalaconothrus foveolatus,Trimalaconothrus foveolatus,Trimalaconothrus foveolatus,Species,Trimalaconothrus foveolatus,Trimalaconothrus.foveolatus,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
54,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Malaconothridae,VNA,Trimalaconothrus,novus,Trimalaconothrus novus,Trimalaconothrus novus,Trimalaconothrus novus,Species,Trimalaconothrus novus,Trimalaconothrus.novus,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
55,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Malaconothridae,VNA,Trimalaconothrus,sp.,Trimalaconothrus,Trimalaconothrus sp.,Trimalaconothrus sp.,Genus,Trimalaconothrus sp.,Trimalaconothrus.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
56,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Malaconothridae,VNA,Trimalaconothrus,sp.,Trimalaconothrus sp.,Trimalaconothrus sp.,Trimalaconothrus sp.,Genus,Trimalaconothrus sp.,Trimalaconothrus.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
57,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Malaconothridae,VNA,Trimalaconothrus,sp. 4,Trimalaconothrus sp. 4,Trimalaconothrus sp. 4,Trimalaconothrus sp. 4 DEW,Species,Trimalaconothrus sp. 4 DEW,Trimalaconothrus.sp.4.DEW,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
58,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Malaconothridae,VNA,Trimalaconothrus,sp. 4 DEW,Trimalaconothrus sp. 4 DEW,Trimalaconothrus sp. 4 DEW,Trimalaconothrus sp. 4 DEW,Species,Trimalaconothrus sp. 4 DEW,Trimalaconothrus.sp.4.DEW,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
59,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Phenopelopidae,VNA,Peloptulus,sp.,Peloptulus,Peloptulus sp.,Peloptulus sp.,Genus,Peloptulus sp.,Peloptulus.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
60,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Trhypochthoniidae ,VNA,Trhypochthoniellus,longisetus setosus ,Trhypochthoniellus setosus canadensis,Trhypochthoniellus setosus canadensis,Trhypochthoniellus setosus canadensis,Subspecies,Trhypochthoniellus setosus canadensis,Trhypochthoniellus.setosus.canadensis,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
61,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Sarcoptiformes ,Trhypochthoniidae ,VNA,Trhypochthoniellus,longisetus setosus ,Trhypochthoniellus longisetus setosus ,Trhypochthoniellus longisetus setosus ,Trhypochthoniellus longisetus setosus ,Subspecies,Trhypochthoniellus longisetus setosus ,Trhypochthoniellus.longisetus.setosus ,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
62,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Arrenuridae,VNA,Arrenurus,sp.,Arrenurus,Arrenurus sp.,Arrenurus sp.,Genus,Arrenurus sp.,Arrenurus.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
63,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Arrenuridae,VNA,Arrenurus,sp.,arrenurus,Arrenurus sp.,Arrenurus sp.,Genus,Arrenurus sp.,Arrenurus.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
64,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Eylaidae,VNA,Eylais,sp.,Eylais,Eylais sp.,Eylais sp.,Genus,Eylais sp.,Eylais.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
65,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Halacaridae,VNA,Porolohmannella,sp.,Porolohmannella,Porolohmannella sp.,Porolohmannella sp.,Genus,Porolohmannella sp.,Porolohmannella.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
66,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Halacaridae,VNA,Porolohmannella,violacea,Porolohmannella violacea,Porolohmannella violacea,Porolohmannella violacea,Species,Porolohmannella violacea,Porolohmannella.violacea,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
67,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Halacaridae,VNA,Porolohmannella,violacea,Porolohmanella violacea,Porolohmannella violacea,Porolohmannella violacea,Species,Porolohmannella violacea,Porolohmannella.violacea,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
68,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Hydrachnidae,VNA,Hydrachna,sp.,Hydrachna,Hydrachna sp.,Hydrachna sp.,Genus,Hydrachna sp.,Hydrachna.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
69,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Hydrodromidae,VNA,Hydrodroma,sp.,Hydrodroma,Hydrodroma sp.,Hydrodroma sp.,Genus,Hydrodroma sp.,Hydrodroma.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
70,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Hydryphantidae,VNA,Pseudohydryphantes,sp.,Pseudohydryphantes,Pseudohydryphantes sp.,Pseudohydryphantes sp.,Genus,Pseudohydryphantes sp.,Pseudohydryphantes.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
71,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Hydryphantidae,VNA,UID,UID,Hydryphantidae UID,Hydryphantidae UID,Hydryphantidae UID,Family,Hydryphantidae UID,Hydryphantidae.UID,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
72,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Hygrobatidae,VNA,Corticacarus,sp.,Corticacarus,Corticacarus sp.,Corticacarus sp.,Genus,Corticacarus sp.,Corticacarus.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
73,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Hygrobatidae,VNA,Hygrobates,sp.,Hygrobates,Hygrobates sp.,Hygrobates sp.,Genus,Hygrobates sp.,Hygrobates.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
74,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Hygrobatidae,VNA,UID,UID,Hygrobatidae UID,Hygrobatidae UID,Hygrobatidae UID,Family,Hygrobatidae UID,Hygrobatidae.UID,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
75,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Lebertiidae,VNA,Lebertia,sp.,Lebertia,Lebertia sp.,Lebertia sp.,Genus,Lebertia sp.,Lebertia.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
76,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Limnesiidae,VNA,Limnesia,sp.,Limnesia,Limnesia sp.,Limnesia sp.,Genus,Limnesia sp.,Limnesia.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
77,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Limnocharidae,VNA,Limnochares,sp.,Limnochares,Limnochares sp.,Limnochares sp.,Genus,Limnochares sp.,Limnochares.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
78,Non-target,Hydrachnidia,Arthropoda,Euchelicerata,Trombidiformes,Mideidae,VNA,Midea,sp.,Midea,Midea sp.,Midea sp.,Genus,Midea sp.,Midea.sp.,Abundance,Hydrachnidia,Coarse,VNA,Predator,piercer,8,5,9,7,9,7,6,
